epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,29361.2,1.39824,0.60263,1.45494,0.88671,0.98599,0.92588,0.58522,1.40513,1.03839,1.58553,0.005842,0.005842,0.005842
44,30084.9,1.38733,0.5966,1.45151,0.88436,0.98857,0.92537,0.58448,1.40526,1.03906,1.58389,0.005743,0.005743,0.005743
45,30728.3,1.37813,0.57958,1.44349,0.88671,0.98523,0.92436,0.58532,1.41449,1.05538,1.58688,0.005644,0.005644,0.005644
46,31469.6,1.37893,0.58106,1.43766,0.88864,0.98719,0.92839,0.59075,1.41085,1.05325,1.58562,0.005545,0.005545,0.005545
47,32114,1.38056,0.57961,1.44773,0.88991,0.98884,0.92772,0.58931,1.41032,1.05221,1.58423,0.005446,0.005446,0.005446
48,32859.2,1.37962,0.57401,1.43797,0.8881,0.98525,0.92341,0.58158,1.40914,1.0663,1.58314,0.005347,0.005347,0.005347
49,33503.9,1.36002,0.56969,1.43263,0.88764,0.98832,0.92022,0.58583,1.40147,1.06391,1.57795,0.005248,0.005248,0.005248
50,34155.6,1.35909,0.56474,1.42704,0.88772,0.98794,0.92753,0.59197,1.4,1.05783,1.57766,0.005149,0.005149,0.005149
51,34799.1,1.35607,0.56478,1.43658,0.88889,0.98811,0.92377,0.58579,1.40247,1.0593,1.57949,0.00505,0.00505,0.00505
52,35535.7,1.35753,0.56128,1.43005,0.88866,0.98752,0.92176,0.5866,1.40163,1.06403,1.57816,0.004951,0.004951,0.004951
53,36275.4,1.34656,0.55262,1.42084,0.88895,0.99009,0.91773,0.58394,1.39906,1.06702,1.57626,0.004852,0.004852,0.004852
54,36921,1.33977,0.54966,1.41681,0.88655,0.98972,0.92528,0.59336,1.39436,1.05753,1.57373,0.004753,0.004753,0.004753
55,37650.8,1.33448,0.54839,1.40953,0.88933,0.99068,0.92492,0.59631,1.38797,1.04551,1.57204,0.004654,0.004654,0.004654
56,38294.5,1.32997,0.53963,1.41058,0.88988,0.98978,0.92392,0.59764,1.38297,1.05036,1.56994,0.004555,0.004555,0.004555
57,38947.6,1.32353,0.53348,1.3999,0.88928,0.98934,0.92277,0.5984,1.38142,1.05971,1.56797,0.004456,0.004456,0.004456
58,39683.8,1.31924,0.5293,1.39699,0.88979,0.99009,0.92544,0.59939,1.37943,1.0583,1.56722,0.004357,0.004357,0.004357
59,40329.7,1.31181,0.52713,1.39303,0.88878,0.98977,0.92689,0.60096,1.37933,1.05568,1.56769,0.004258,0.004258,0.004258
60,40979.3,1.31528,0.52515,1.39882,0.88862,0.98972,0.92906,0.60172,1.37923,1.0606,1.56685,0.004159,0.004159,0.004159
61,41729.3,1.3033,0.52128,1.38327,0.88972,0.99009,0.92998,0.60084,1.37726,1.05828,1.56597,0.00406,0.00406,0.00406
62,42380.2,1.29681,0.51993,1.38368,0.89016,0.99084,0.92804,0.60189,1.37609,1.0649,1.56533,0.003961,0.003961,0.003961
63,43041.4,1.29473,0.51809,1.38064,0.89065,0.99084,0.9317,0.60371,1.37618,1.05376,1.56505,0.003862,0.003862,0.003862
64,43717.5,1.28601,0.50584,1.37506,0.89134,0.99047,0.93016,0.60194,1.37502,1.05917,1.56483,0.003763,0.003763,0.003763
65,44375.2,1.27816,0.50505,1.37041,0.89075,0.99009,0.93022,0.60178,1.37416,1.06438,1.56452,0.003664,0.003664,0.003664
66,45105.3,1.28314,0.50531,1.37297,0.89105,0.99009,0.92963,0.60074,1.37398,1.07083,1.56414,0.003565,0.003565,0.003565
67,45761.3,1.27249,0.50179,1.37201,0.89057,0.99009,0.93058,0.60014,1.37393,1.06979,1.5645,0.003466,0.003466,0.003466
68,46505.7,1.26436,0.49495,1.36296,0.88951,0.98972,0.92733,0.59962,1.37513,1.06971,1.56501,0.003367,0.003367,0.003367
69,47156.4,1.25554,0.48917,1.35367,0.88946,0.98972,0.93074,0.60053,1.37424,1.0716,1.56462,0.003268,0.003268,0.003268
70,47906.2,1.24759,0.48605,1.35429,0.88955,0.98987,0.93071,0.60256,1.37319,1.06983,1.5636,0.003169,0.003169,0.003169
71,48557.4,1.24723,0.48204,1.35268,0.88956,0.99009,0.93081,0.60309,1.37396,1.06799,1.56358,0.00307,0.00307,0.00307
72,49212.6,1.24368,0.48571,1.35073,0.88951,0.99018,0.93167,0.60247,1.3726,1.07109,1.56251,0.002971,0.002971,0.002971
73,49862.9,1.23643,0.47535,1.35033,0.8901,0.99009,0.93013,0.60269,1.37193,1.06795,1.56257,0.002872,0.002872,0.002872
74,50602.1,1.22589,0.47397,1.3428,0.88999,0.99009,0.93036,0.60263,1.37089,1.07102,1.56246,0.002773,0.002773,0.002773
75,51337.5,1.21788,0.46886,1.33693,0.89026,0.99032,0.93093,0.60188,1.37207,1.07565,1.56293,0.002674,0.002674,0.002674
76,51999.2,1.21278,0.46578,1.32731,0.89037,0.99035,0.93119,0.60041,1.37263,1.08041,1.5633,0.002575,0.002575,0.002575
77,52745.8,1.20665,0.46135,1.32508,0.89072,0.99042,0.92859,0.60037,1.37303,1.07921,1.56378,0.002476,0.002476,0.002476
78,53394.2,1.20823,0.46328,1.32877,0.89035,0.99047,0.92854,0.60026,1.37383,1.08581,1.56461,0.002377,0.002377,0.002377
79,54139.6,1.19848,0.45689,1.33035,0.89034,0.99047,0.92865,0.59774,1.37312,1.08566,1.56492,0.002278,0.002278,0.002278
80,54788.8,1.19563,0.45766,1.32126,0.89024,0.99047,0.92795,0.59654,1.37289,1.08453,1.56516,0.002179,0.002179,0.002179
81,55604.9,1.17976,0.44887,1.31645,0.89017,0.99047,0.92779,0.59515,1.37358,1.08396,1.56564,0.00208,0.00208,0.00208
82,56252.6,1.17908,0.44996,1.30977,0.88978,0.99009,0.92822,0.59566,1.3737,1.08091,1.56593,0.001981,0.001981,0.001981
83,56990.5,1.17591,0.44759,1.30985,0.89022,0.99047,0.927,0.59476,1.37446,1.08153,1.56627,0.001882,0.001882,0.001882
84,57640.7,1.16911,0.43861,1.29984,0.89045,0.99047,0.92613,0.59319,1.37471,1.07886,1.56668,0.001783,0.001783,0.001783
85,58385.9,1.1515,0.43814,1.29298,0.89059,0.99047,0.92479,0.59269,1.37605,1.08024,1.56753,0.001684,0.001684,0.001684
86,59030.7,1.15259,0.43473,1.29695,0.89041,0.99009,0.92329,0.59214,1.37612,1.08604,1.56801,0.001585,0.001585,0.001585
87,59683.4,1.14522,0.43118,1.28709,0.89048,0.99009,0.92295,0.59222,1.37653,1.08509,1.56833,0.001486,0.001486,0.001486
88,60430,1.14211,0.42881,1.28889,0.89058,0.99009,0.92242,0.59223,1.37719,1.08525,1.56892,0.001387,0.001387,0.001387
89,61077.6,1.13165,0.42739,1.28337,0.89061,0.99009,0.92364,0.59206,1.37719,1.08539,1.56916,0.001288,0.001288,0.001288
90,61722.3,1.13352,0.42479,1.28306,0.89067,0.99009,0.92444,0.593,1.37786,1.08915,1.57,0.001189,0.001189,0.001189
91,62433.7,1.08436,0.3542,1.36022,0.89,0.98975,0.92395,0.59343,1.37813,1.0986,1.57078,0.00109,0.00109,0.00109
92,63056.9,1.07299,0.34999,1.35201,0.89057,0.99009,0.92341,0.59191,1.37839,1.09877,1.57147,0.000991,0.000991,0.000991
93,63793.1,1.06585,0.34619,1.34921,0.89057,0.99009,0.92346,0.59207,1.37888,1.09735,1.57249,0.000892,0.000892,0.000892
94,64416,1.05053,0.343,1.33698,0.89063,0.99009,0.9239,0.59239,1.37978,1.09949,1.5735,0.000793,0.000793,0.000793
95,65139.7,1.04097,0.34028,1.33283,0.89058,0.99009,0.92374,0.59253,1.3805,1.09965,1.57403,0.000694,0.000694,0.000694
96,65762,1.03526,0.33876,1.32607,0.89053,0.99009,0.92412,0.59232,1.38083,1.09867,1.575,0.000595,0.000595,0.000595
97,66587.6,1.0276,0.33584,1.31634,0.89058,0.99009,0.92376,0.59257,1.38199,1.09997,1.57593,0.000496,0.000496,0.000496
98,67206.5,1.02166,0.33362,1.31347,0.89059,0.99009,0.92459,0.59422,1.38242,1.10076,1.577,0.000397,0.000397,0.000397
99,67916.1,1.00926,0.33195,1.30656,0.89063,0.99009,0.92442,0.59463,1.3838,1.1029,1.57837,0.000298,0.000298,0.000298
100,68538.8,1.00398,0.32992,1.30408,0.89074,0.99009,0.9243,0.5952,1.38413,1.10279,1.57946,0.000199,0.000199,0.000199
